block,section,ref,qty,qty_min,qty_max,status,value,mpn,datasheet,notes
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),C_inB,2,2,2,Req,4.7 µF 63 V X7R (1206) + 0.1 µF,generic,,"At U3 V_IN; input ripple ≈ 46 mV at 0.7 MHz (Eq. 10), OK"
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),C_outB,2,2,2,Req,2 × 22 µF 16 V X7R (1206),generic,,"At U3 V_OUT. At 0.7 MHz the transient criterion (Eq. 5, 0→0.6 A, 3%) needs ≥ 17.1 µF and overshoot (Eq. 6, 22 µH) ≥ 11.9 µF — a single derated 22 µF is marginal, so two in parallel"
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),R_fbB1,1,1,1,Req,≈ 33.2 kΩ 1% 0603 (top),generic,,Sets 3.3 V with V_REF 0.765 V (ratio 3.31)
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),R_fbB2,1,1,1,Req,10 kΩ 1% 0603 (bottom),generic,,—
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),C_bootB,1,1,1,Req,"Bootstrap 100 nF, ≥ 10 V X7R, 0603",generic,,CB-to-SW; datasheet §9.2.2.6 requires 0.1 µF or larger (10 nF is too small)
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),R_enB,1,1,1,Opt,EN series resistor ≈ 100 kΩ (or divider),generic 1%,,Only if tying EN→VSYS. Can instead float EN (internal pull-up = always on). Divider sets custom UVLO
mcu,1. Microcontroller,U1,1,1,1,Req,"PIC18F57Q84, 48-pin TQFP, 7×7 mm, 0.5 mm pitch",Microchip PIC18F57Q84-I/PT,https://www.microchip.com/en-us/product/PIC18F57Q84,"-I/PT = industrial temp, TQFP. No VCAP pin on this device (§4.1) — do not fit a core-regulator cap"
mcu,"2. Decoupling — DS40002213F §4.2.1, Table 3-2 note 5",C_pic1,1,1,1,Req,"0.1 µF, 16–25 V, X7R, low-ESR ceramic, 0402",generic (select for SRF ≥ 200 MHz),,"VDD pin 7 → VSS pin 6, ≤ 6 mm, same side as U1"
mcu,"2. Decoupling — DS40002213F §4.2.1, Table 3-2 note 5",C_pic2,1,1,1,Req,"0.1 µF, 16–25 V, X7R, low-ESR ceramic, 0402",generic (select for SRF ≥ 200 MHz),,VDD pin 30 → VSS pin 31. Opposite corner from C_pic1 — one shared cap is not compliant
mcu,"2. Decoupling — DS40002213F §4.2.1, Table 3-2 note 5",C_picBulk,1,1,1,Rec,"4.7 µF, 16 V, X7R, 0805",generic,,"Tank cap, §4.2.2 (4.7–47 µF range). Kept because the NEO-M9N shares this rail and buck A switches hard nearby"
mcu,"2. Decoupling — DS40002213F §4.2.1, Table 3-2 note 5","C_picHF1, C_picHF2",0–2,0,2,Opt,"1 nF (0.001 µF), 0402",generic,,Decade pair in parallel with each 0.1 µF. Fit only if tens-of-MHz noise is measured — no-fit pads by default
mcu,"3. MCLR / reset network — DS40002213F §4.3, Figure 4-1",R_mclr1,1,1,1,Req,"10 kΩ 1% 0603, pull-up to VDD",generic,,"Figure 4-1 R1. Note 1 caps it at R1 ≤ 10 kΩ. The Curiosity Nano's 47 kΩ (R200) violates this — follow the datasheet, not the dev board"
mcu,"3. MCLR / reset network — DS40002213F §4.3, Figure 4-1",R_mclr2,1,1,1,Rec,"220 Ω 0603, series into MCLR (100–470 Ω range)",generic,,"Figure 4-1 R2. Note 2: R2 ≤ 470 Ω, limits C_mclr discharge current into the pin on ESD/EOS"
mcu,"3. MCLR / reset network — DS40002213F §4.3, Figure 4-1",C_mclr,1,1,1,Rec,"0.1 µF, 25 V, X7R, 0603",generic,,Figure 4-1 C1. Immunity to spurious reset on rail sag
mcu,"3. MCLR / reset network — DS40002213F §4.3, Figure 4-1",JP_mclr,1,1,1,Opt,"2-pin 0.1 in jumper, or a no-fit pad on C_mclr",generic header,,Figure 4-2: lets C_mclr be lifted if the programmer objects to the RC. Costs nothing as a no-fit
mcu,"4. ICSP programming + debug header — DS40002213F §4.4, Figure 48-2",J_icsp,1,1,1,Req,"6-pin 0.1 in header, 0.025 in square posts, 0.1 in pitch",generic (Würth/Molex 0.1 in SIL),,"PICkit pinout: 1 VPP/MCLR, 2 VDD, 3 VSS, 4 ICSPDAT, 5 ICSPCLK, 6 NC. Figure 48-2 note 1 requires the 0.025 in square post. Pin 1 must be marked — square pad + silkscreen triangle + VPP legend; the header is unkeyed and Figure 48-2 draws a ""Pin 1 Indicator"" as part of the definition. The PICkit 5's 8-pin body mates with this; its pins 7–8 are unused"
mcu,"4. ICSP programming + debug header — DS40002213F §4.4, Figure 48-2","R_icsp1, R_icsp2",0–2,0,2,Rec,"47 Ω 0603, series on PGD / PGC",generic,,"§4.4: ""tens of ohms"", must not exceed 100 Ω. Fit only if the connector is exposed to ESD"
mcu,"4. ICSP programming + debug header — DS40002213F §4.4, Figure 48-2","R_icspPD1, R_icspPD2",2,2,2,Rec,"47 kΩ 0603, pull-down on PGD / PGC",generic,,Matches the Curiosity Nano debugger side; expected by Microchip tooling
mcu,5. Debug console — USB-C + USB-to-UART bridge,U5,1,1,1,Req,"USB 2.0 full-speed to UART bridge, QFN24 4×4 mm",Silicon Labs CP2102N-A02-GQFN24 (Rev 1.5),,"Integrated transceiver, pull-ups, and 48 MHz oscillator — *""no external resistors required""*, *""no external crystal required""* (p. 1). Enumerates as a COM port exactly like the Nano's CDC. VIO = VDD = VREGIN = 3V3_SYS, per Figure 2.3"
mcu,5. Debug console — USB-C + USB-to-UART bridge,J_dbg,1,1,1,Req,"USB-C receptacle, 16-pin USB-2.0-only, SMT with through-hole retention tabs",generic (verify footprint),,16-pin part avoids the unused SuperSpeed pins. Retention tabs are not optional in a vehicle
mcu,5. Debug console — USB-C + USB-to-UART bridge,"R_cc1, R_cc2",2,2,2,Req,"5.1 kΩ 1% 0402, one on CC1, one on CC2",generic,,Advertises the board as a USB device (sink). Two separate resistors — a single shared resistor breaks cable-orientation detection and some hosts will not attach at all
mcu,5. Debug console — USB-C + USB-to-UART bridge,D_dbg,1,1,1,Req,"Low-capacitance ESD array, D+/D−/VBUS, SOT-23-6",ST USBLC6-2SC6,,"KiCad: Power_Protection:USBLC6-2SC6, footprint Package_TO_SOT_SMD:SOT-23-6. Pins: 1+6 I/O1 → USB_DP (J_dbg D+ / U5 pin 3); 3+4 I/O2 → USB_DM (J_dbg D− / U5 pin 4); 5 VBUS → raw J_dbg VBUS (before divider); 2 GND. Place at the connector"
mcu,5. Debug console — USB-C + USB-to-UART bridge,R_rst,1,1,1,Req,"1 kΩ 0402, pull-up from RSTb (pin 9) to VIO",generic,,"§2.1 p. 5: *""In all cases, a 1 kΩ pull-up on the RSTb pin is recommended. This pull-up should be tied to VIO on devices that have it.""* The QFN24 has VIO, so it goes there"
mcu,5. Debug console — USB-C + USB-to-UART bridge,"R_dbg1, R_dbg2",2,2,2,Rec,"220 Ω 0603, series in DBG_TX / DBG_RX",generic,,"Edge-rate and ESD control, and a current limit if the two supplies ever skew. Matches R_u3a/R_u3b on the cellular UART. Harmless at DC: the PIC's input leakage is ±125 nA max (DS40002213F D340)"
mcu,5. Debug console — USB-C + USB-to-UART bridge,"R_vbus1, R_vbus2",2,2,2,Req,"22.1 kΩ (high side, VBUS → sense) and 47.5 kΩ (sense → GND), 1% 0402",generic,,"The exact divider drawn in Figures 2.4 / 2.5 / 2.6. Not optional: §2.3 p. 9 states *""A resistor divider (or functionally-equivalent circuit) on VBUS is required.""* See the arithmetic below"
mcu,5. Debug console — USB-C + USB-to-UART bridge,"C_dbg1a/b, C_dbg2a/b, C_dbg3a/b",6,6,6,Req,"4.7 µF (a) and 0.1 µF (b) per power pin — pairs at VREGIN (7), VDD (6), VIO (5)","generic, X7R",,"Figures 2.1–2.3: *""4.7 µF and 0.1 µF bypass capacitors required for each power pin placed as close to the pins as possible.""* Three power pins means six capacitors, not two"
mcu,5. Debug console — USB-C + USB-to-UART bridge,C_dbg4,1,1,1,Rec,1 µF 16 V X7R 0603 on VBUS,generic,,Local VBUS bypass at the connector
mcu,5. Debug console — USB-C + USB-to-UART bridge,"R_shield, C_shield",1+1,2,2,Rec,1 MΩ 0402 ∥ 4.7 nF 2 kV 0603,generic,,Connector shell to GND. The RC lets ESD through to ground while keeping a DC ground loop from forming between the car chassis and a laptop
mcu,6. Indication,D_led0,1,1,1,Opt,"LED, low-current, 0603",generic,,"Heartbeat on RF3 (pin 39), driven active low by LATFbits.LATF3 in main.c"
mcu,6. Indication,R_led0,1,1,1,Req,1 kΩ 0603,generic,,"≈2 mA at 3.3 V. Also see R_wwan in cellular-bom.md — same idea, different reason"
mcu,7. Clock — not fitted,Y_hs,0,0,0,Opt,"10 MHz crystal, OSC1 (32) / OSC2 (33)",—,,Only with HS/XT in CONFIG1. Costs RA6 + RA7 and buys nothing here
mcu,7. Clock — not fitted,"C_osc1, C_osc2",0,0,0,Opt,"18 pF / 22 pF, 0402",—,,Curiosity Nano values for its 12 pF-CL crystal
mcu,7. Clock — not fitted,R_s,0,0,0,Opt,Series drive resistor,—,,§12: may be needed for low-drive-level quartz
mcu,7. Clock — not fitted,Y_sosc,0,0,0,Opt,"32.768 kHz, SOSCI (35) / SOSCO (34)",—,,Secondary oscillator unused; not populated on the Nano either
mcu,8. Unused I/O,R_unused,0–n,0,,Opt,1 kΩ–10 kΩ 0603 to VSS,generic,,"§4.6 allows either firmware (drive as output low, free — prefer this) or a resistor to VSS. Reserve resistors for pins left floating at a connector"
cellular,1. Mini PCIe socket and rail decoupling,J2,1,1,1,Req,"Mini PCIe socket, 52-pin, full-size, with latch","Molex 679105700 (Quectel's own reference, Figure 19)",,"Card supply on VCC_3V3 pins 2, 39, 41, 52 — not pin 24, which is RESERVED on this card despite being 3.3Vaux in the Mini PCIe standard. GND on 4, 9, 15, 18, 21, 26, 27, 29, 34, 35, 37, 40, 43, 50 (Table 6)"
cellular,1. Mini PCIe socket and rail decoupling,"C10, C11",3,3,3,Req,"Bulk reservoir 3 × 220 µF = 660 µF, ≥ 6.3 V, low-ESR polymer, effective ESR ≤ 10 mΩ",Panasonic SP-Cap / Kemet T520,,Sources the TX burst locally at the socket. Sizing math in power-rail-notes.md; paralleled to divide ESR and ESL
cellular,1. Mini PCIe socket and rail decoupling,"C12, C13",2,2,2,Req,10 µF 16 V X7R (0805) + 100 nF 0402,generic,,HF decoupling at the socket power pins
cellular,1. Mini PCIe socket and rail decoupling,"C14, C15",2,2,2,Rec,"33 pF + 10 pF, 0402",generic,,Completes the Figure 3 cap ladder
cellular,1. Mini PCIe socket and rail decoupling,D_cell,1,1,1,Rec,"TVS on 3V3_CELL, low clamp above 3.6 V",select clamp < card abs max (verify),,Socket-local clamp — the front-end TVS D1 is far away at the harness entry
cellular,"2. (U)SIM interface — §3.3, Figure 4",J3,1,1,1,Req,"Nano-SIM holder, hinged locking cover, 6 contacts + detect switch",GCT SIM8060-6-1-14-00-A,,Normally-open switch closes SW to the grounded shell when the card is seated → SIM_DET low = inserted
cellular,"2. (U)SIM interface — §3.3, Figure 4",C_sim1,1,1,1,Req,"100 nF, 0402, USIM_VDD → GND",Murata GRM155R71C104KA88D,,§3.3: decoupling must not exceed 1 µF and must sit close to the holder
cellular,"2. (U)SIM interface — §3.3, Figure 4",C_sim2..4,3,3,3,Req,"33 pF, 0402, one per RST / CLK / DATA to GND",Murata GRM1555C1H330JA01D,,Filters EGSM900 interference
cellular,"2. (U)SIM interface — §3.3, Figure 4",D_sim,1,1,1,Req,"TVS array, parasitic capacitance ≤ 15 pF","TI TPD4E02B04DQAR (~0.25 pF/ch, USON-10)",,"At the holder, on VDD / IO / CLK / RST. The 15 pF ceiling is the selection criterion"
cellular,"2. (U)SIM interface — §3.3, Figure 4","R_det1, R_det2",2,2,2,Req,"51 kΩ, 0402 — SIM_DET divider from 3V3_CELL",Yageo RC0402FR-0751KL,,See detect note below
cellular,"2. (U)SIM interface — §3.3, Figure 4",R_simPU,1,1,1,Opt,15 kΩ 0402 to USIM_VDD,Yageo RC0402FR-0715KL,,Pull-up on USIM_DATA; improves anti-jamming on long or noisy traces. Value per Figure 4/5; fit DNP by default
cellular,3. UART to the PIC — §3.5,"R_u3a, R_u3b",2,2,2,Rec,220 Ω 0603,generic,,"Series on CELL_RX / CELL_TX. Both ends now share a board, so the back-power case from bench-wiring.md is gone; these remain useful for edge-rate and ESD control"
cellular,4. Control and indication,R_perst,1,1,1,Rec,10 kΩ 0603 to 3V3_SYS,generic,,Belt-and-braces pull-up on PERST# (pin 22); holds reset released while the PIC is itself in reset. The card already pulls up
cellular,4. Control and indication,TP_perst,1,1,1,Rec,Test point,generic,,A 2–3.8 s reset pulse is worth being able to scope
cellular,4. Control and indication,D_wwan,1,1,1,Opt,"LED, low-current, 0603",generic,,"LED_WWAN# (pin 42), open collector, active low"
cellular,4. Control and indication,R_wwan,1,1,1,Req,1 kΩ 0603 from 3V3_SYS,generic,,"§3.7.4: *""a resistor must be placed in series with the LED.""* ≈2 mA at 3.3 V. Do not omit — the pin sinks up to 40 mA and will cook the LED"
cellular,"5. USB — Opt, §3.4",L_usb,1,1,1,Rec,"Common-mode choke, USB 2.0 rated",Würth WE-CNSW or equivalent,,§3.4 recommends one in series for EMI. Place close to the socket
cellular,"5. USB — Opt, §3.4",D_usb,1,1,1,Rec,"Low-capacitance ESD array, 2-line",select for low C on a 90 Ω pair,,Per Figure 6
cellular,"5. USB — Opt, §3.4","R_usb1, R_usb2",2,2,2,Opt,"0 Ω 0402, not mounted by default",generic,,"Series to test points, per Figure 6"
cellular,"5. USB — Opt, §3.4",J_usb,1,1,1,Opt,USB connector or 4-pin header,generic,,Firmware-update access
cellular,6. Mechanical,"MP1, MP2",2,2,2,Req,Card standoffs / mounting posts for a full-size card,per socket vendor,,Card is 51.0 × 30.0 mm (§7.2)
cellular,6. Mechanical,MP3,1,1,1,Rec,"Retaining screw or bracket, in addition to the latch",generic,,In a vehicle the latch is structural. A card that walks out of its socket over a race weekend takes the telemetry link with it
cellular,6. Mechanical,—,0,0,0,Req,"U.FL-LP mating plug, clearance, and cable strain relief",§5.4 recommends the U.FL-LP family,,"The antenna connector is on the card — no 50 Ω trace on our PCB. What the board owes is bend-radius clearance (Figure 16), a cable path to the bulkhead, and an anchor against continuous vibration"
gnss,1. Receiver module,U4,1,1,1,Req,"NEO-M9N-00B, 24-pin LCC, 12.2 × 16.0 × 2.4 mm, 1.1 mm pitch",u-blox NEO-M9N-00B,https://www.u-blox.com/en/product/neo-m9n-module,"Perimeter castellations, no hidden thermal pad — joints are visible and probeable. Footprint and paste mask from IM Figures 37/38, with keep-out for the ≤ 0.5 mm de-panel tabs on one long edge"
gnss,"2. Main supply decoupling (VCC, pin 23)",C_neo1,1,1,1,Req,"1 µF, 16 V, X7R, 0603",generic,,"IM §4.9.1 asks it as a checklist item verbatim: *""Is there a 1 uF cap right next to the module VCC pin?""* Place as close to the pad as physically possible"
gnss,"2. Main supply decoupling (VCC, pin 23)",C_neo2,1,1,1,Rec,"100 nF, 16 V, X7R, 0402",generic,,HF companion at VCC
gnss,"2. Main supply decoupling (VCC, pin 23)",C_neoBulk,1,1,1,Rec,"10 µF, 16 V, X7R, 0805",generic,,Local reservoir for the 100 mA acquisition peak
gnss,"2. Main supply decoupling (VCC, pin 23)",FB2,1,1,1,Rec,"Ferrite ≈ 600 Ω @ 100 MHz, DCR < 0.2 Ω",Murata BLM18 series (select on DCR),,Isolates the GNSS branch from the PIC rail. Also listed in power-supply-bom.md §5. Hard limit: IM §4.2.1 forbids > 0.2 Ω series resistance in the VCC line
gnss,"3. Backup supply (V_BCKP, pin 22) and V_USB (pin 7)",C_bkp,1,1,1,Rec,"10 µF-class hold cap, 16 V (or a supercap)",generic,,Keeps RTC + battery-backed RAM alive for hot/warm starts. Backup draw is only 45 µA typ at 3 V (Datasheet Table 11). Cold start ≈ 24–29 s to fix vs. a couple of seconds hot
gnss,"3. Backup supply (V_BCKP, pin 22) and V_USB (pin 7)",—,0,0,0,Req,If C_bkp is omitted: tie V_BCKP directly to VCC,"— (a net, not a part)",,"IM §4.2.2. Never leave pin 22 floating, and put no series resistance on the line — switchover draws a current peak that a resistive path turns into a damaging drop"
gnss,"3. Backup supply (V_BCKP, pin 22) and V_USB (pin 7)",—,0,0,0,Req,V_USB (pin 7) tied to GND,"— (a net, not a part)",,"IM §4.2.3 — required when USB is unused. This is *not* covered by the ""unused inputs may be left open"" rule and is the single easiest pin on this part to get wrong"
gnss,4. RF front end,J_gnss,1,1,1,Req,"U.FL or SMA, 50 Ω",generic (Hirose U.FL-R-SMT / Amphenol SMA),,Roof- or shell-mount antenna feed
gnss,4. RF front end,D_rf,1,1,1,Req,"Low-capacitance ESD diode, GNSS-band rated","select for C ≲ 0.5 pF, e.g. an ESD8xxx-class part (verify capacitance)",,"IM §4.5.2: *""An ESD protection diode should also be connected to the input.""* At the connector. Capacitance is the selection criterion — a general-purpose TVS will detune the input"
gnss,4. RF front end,L_bias,1,1,1,Opt,"27 nH, Z > 500 Ω at GNSS frequency, rated > 300 mA",Murata LQW/LQG RF inductor (verify Z and Irms),,Bias-T choke; isolates RF from the DC path
gnss,4. RF front end,C_bias,1,1,1,Opt,"100 nF, X7R, 10%, 16 V, 0402",generic,,Removes HF noise from the DC feed
gnss,4. RF front end,R_bias,1,1,1,Opt,"22 Ω, 0.25 W, 0805",generic,,Short-circuit limiter. Not the 10 Ω in Table 26 — the text below it requires ≥ 19 Ω at a 3.3 V supply to hold short-circuit current under 150 mA. 22 Ω is the nearest standard value
gnss,4. RF front end,R_bias0,1,1,1,Opt,"0 Ω link, 0402",generic,,Fitted instead of L_bias / C_bias / R_bias. Leave VCC_RF (pin 9) and LNA_EN (pin 14) unconnected
gnss,5. Digital interface and test points,TP_safeboot,1,1,1,Rec,Test point or no-fit pad,generic,,SAFEBOOT_N (pin 1). Left open in normal operation; brought out for future firmware update
gnss,5. Digital interface and test points,TP_pps,1,1,1,Rec,Test point,generic,,"TIMEPULSE (pin 3) — 1 PPS at 30 ns RMS, 4 mA drive. Route to a PIC input even though firmware does not use it yet; it is the only way to discipline timestamps better than UART arrival time"
